No.,name,Series,Model_Name,Model_Number,Color,Price(THB),Type,Suitable_For,Power_Supply,Processor_Brand,Processor_Name,Vaiant,Clock_Speed,Cache(MB),SSD_Capacity(GB),HDD_Capacity(GB),RAM(GB),RAM_Type,Expandable_Memory,Memory_Slots,RAM_Frequency(MHz),Graphic_Processor_Brand,Graphic_Processor,GPU_Score,Operating_System,Mic_In,USB_Port,HDMI_Port,Touchscreen,ScreenSize(inch),ScreenReolution,Screen_Type,Speakers,Internal_Mic,Wireless_LAN,Bluetooth,Weight(KG),Finger_Print_Sensor,Keyboard,Backlit_Keyboard,Ethernet,Web_Camera,Pointer_Device,Battery_Backup,RJ45,Refresh_Rate
413,ASUS,ASUS TUF Gaming F15,FX566HM-AZ096TS,FX566HM-AZ096TS,Eclipse Gray,55702.02,Gaming Laptop,Gaming,N/A,Intel,Core i9,11900H,2.5 GHz with Max Turbo Boost Frequency Up to 4.9 GHz,24,1000,0,16,DDR4,32,2,N/A,NVIDIA,RTX 3060,6,Windows 10,Yes,"1 x Thunderbolt 4 support DisplayPort, 3 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.0b,No,15.6,1920x1080,"Full HD (IPS-level, 300nits, NTSC 72.00%, anti-glare display)",Built-in Dual Speakers,Built-in Array Microphone,Wi-Fi 6(802.11ax),5.2,2.3,No,Backlit Chiclet Keyboard RGB,Yes,10/100/1000 Mbps,720P HD camera,Touchpad,N/A,Yes,N/A
414,HP,Pavilion Gaming,15-EC2150AX,15-EC2150AX,Shadow Black & Ultra Violet,23472.12,Gaming Laptop,Gaming,N/A,AMD,Ryzen 5,5600H,"Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz",16,512,0,8,DDR4,N/A,N/A,N/A,NVIDIA,GTX 1650,4.5,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x USB 2.0 Type-A (HP Sleep and Charge)",1x HDMI 2.0,No,15.6,1920x1080,"""Full HD, IPS, micro-edge, anti-glare, Brightness: 300 nits, 141 ppi, Color Gamut: 72% NTSC """,Built-in Dual Speakers,Built-in dual array digital microphones,Realtek Wi-Fi 6 (2x2),5.2,1.98,No,"Full-size, ultra violet backlit, shadow black keyboard with numeric keypad",Yes,10/100/1000 GbE LAN,HP TrueVision 720p HD Camera,Touchpad,N/A,Yes,N/A
415,HP,x360,N/A,14c-cc0009TU,Mineral Silver,20050.18,2 in 1 Laptop,Processing & Multitasking,N/A,Intel,Core i3,1125G4,3.7,8,256,0,8,DDR4,N/A,N/A,3200,Intel,UHD,2,Chrome,Yes,"2 x SuperSpeed USB Type-C 5Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4), 1 x SuperSpeed USB Type-A (5Gbps Signaling Rate)",N/A,Yes,14,1920x1080,"Full HD Multitouch-enabled, IPS, Edge-to-edge Glass Micro-edge, Corning Gorilla Glass 5 Display (Brightness: 250 nits, 157 ppi, Color Gamut: 45% NTSC)",Built-in Speakers,Integrated Dual Array Digital Microphones,Intel Wi-Fi CERTIFIED 6 AX201 (2x2),5,1.49,Yes,"Full-size, Backlit, Mineral Silver Keyboard",Yes,No,HP Wide Vision 720p HD Webcam,HP Imagepad with Multi-touch Gesture Support,N/A,N/A,N/A
416,DELL,DELL INSPIRON 3515 2021 SERIES,Inspiron 3515,Inspiron 3515,Carbon Silver,17503.62,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",N/A,AMD,Ryzen 3,33250U,UP TP 3.5 GHZ,N/A,0,1000,8,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics Vega 8,3,Windows 10,N/A,3,YES,No,15.6,1920x1080,FULL HD,YES,YES,YES,Yes,N/A,No,N/A,N/A,NO,YES,Touchpad,Upto 6 hours,N/A,N/A
417,HP,Spectre x360 14 Intel EVO,N/A,14-ea0077TU,Poseidon Blue,60878.3,2 in 1 Laptop,Processing & Multitasking,N/A,Intel,Core i7,1165G7,4.7 GHz Max Turbo Frequency,12,1000,0,16,LPDDR4X,32,N/A,3733,Intel,UHD,2,Windows 10 Pro,Yes,"2 x Thunderbolt 4 with USB4 Type-C 40Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x SuperSpeed USB Type-A 10Gbps Signaling Rate (HP Sleep and Charge)",N/A,Yes,13.5,3000x2000,"OLED Multitouch-enabled UWVA Edge-to-edge Glass Micro-edge Anti-reflection Corning Gorilla Glass NBT Display (Brightness: 400 nits, 267 ppi, Color Gamut: 100% NTSC, Screen to Body Ratio: 90.33%)",Built-in Dual Speakers,Integrated Dual Array Digital Microphones,Intel Wi-Fi 6 AX201 (2x2),5,1.34,Yes,"Full-size, Backlit, Poseidon Blue Keyboard",Yes,No,HP True Vision 720p HD IR Webcam with Camera Shutter,HP Imagepad with Multi-touch Gesture Support,N/A,N/A,N/A
418,HP,Pavilion,13-BE0208AU,13-BE0208AU,Pale Rose Gold,31748.44,Thin and Light Laptop,Processing & Multitasking,65 W Smart AC power adapter,AMD,Ryzen 7,5800U,4.4,16,1000,0,16,DDR4,16,N/A,N/A,AMD,Radeon Graphics,3,Windows 11 Home,Yes,"1 x USB type C, 2 x USB type A",1 x HDMI,No,13.3,1920x1200,"WUXGA, IPS, micro-edge, anti-glare (400 nits Brightness, 100% sRGB Color Gamut, 170 ppi)",Dual speakers,Integrated dual array digital Microphone,Realtek Wi-Fi 6 (2x2),5.2,0.97,No,"Full-size, backlit, Pale Rose Gold keyboard",Yes,No,HP Wide Vision 720p HD camera,HP Imagepad with multi-touch gesture support,Upto 10 Hours,N/A,N/A
419,HP,Pavilion Aero Laptop,13-BE0206AU,13-BE0206AU,Natural Silver,25779.94,Thin and Light Laptop,Processing & Multitasking,N/A,AMD,Ryzen 5,5600U,Max Turbo Boost Frequency Up to 4.2 GHz,16,512,0,16,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 10Gbps signaling rate, 1 x SuperSpeed USB Type-C® 10Gbps signaling rate",1x HDMI 2.0,No,13.3,1920x1200,"WUXGA, IPS, micro-edge, anti-glare, Brightness: 400 nits, 170 ppi, Color Gamut: 100% sRGB",Built-in Dual Speakers,Built-in dual array digital microphones,Realtek Wi-Fi 6 (2x2),5.2,0.97,No,"Full-size, backlit, Natural Silver keyboard",Yes,No,HP Wide Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
420,HP,Pavilion Gaming,15-EC2146AX,15-EC2146AX,Shadow Black & Ultra Violet,31828.02,Gaming Laptop,Gaming,N/A,AMD,Ryzen 7,5800H,"Base Clock 3.10 GHz, Max Turbo Boost Frequency Up to 4.40 GHz",16,512,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050,5.4,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x USB 2.0 Type-A (HP Sleep and Charge)",1x HDMI 2.0,No,15.6,1920x1080,"Full HD, 144 Hz, 7 ms response time, IPS, micro-edge, anti-glare, Brightness: 300 nits, 141 ppi, Color Gamut: 72% NTSC",Built-in Dual Speakers,Built-in dual array digital microphones,Realtek Wi-Fi 6 (2x2),5.2,1.98,No,"Full-size, ultra violet backlit, shadow black keyboard with numeric keypad",Yes,10/100/1000 GbE LAN,HP TrueVision HD Camera,Touchpad,N/A,Yes,N/A
421,HP,N/A,14s-ef1001tu,14s-ef1001tu,Natural Silver,22556.95,Thin and Light Laptop,Processing & Multitasking,65 W Smart AC power adapter,Intel,Core i5,1135G7,4.2,8,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB type C, 2 x USB type A",1 x HDMI 1.4,No,14,1920x1080,"FHD, IPS, micro-edge, BrightView (250 nits Brightness, 45% NTSC Color Gamut, 157 ppi)",Dual Speakers,Integrated dual array digital Microphone,Realtek RTL8822CE 802.11a/b/g/n/ac,5,1.49,No,"Full-size, backlit, natural silver keyboard",Yes,No,HP True Vision 720p HD camera,Touchpad with multi-touch gesture support,65 W Smart AC power adapter,N/A,N/A
422,HP,Pavilion,15-DK2096TX,15-DK2096TX,Shadow Black & Ultra Violet,35011.22,Gaming Laptop,"Gaming, Processing & Multitasking",200 W Smart AC power adapter,Intel,Core i7,11370H,4.8,12,512,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050,5.4,Windows 11 Home,Yes,"1 x USB type C, 3 x USB type A",1 x HDMI 2.0,No,15.6,1920x1080,"FHD, 144 Hz, 7 ms response time, IPS, micro-edge, , anti-glare (300 nits Brightness, 72% NTSC Color Gamut, 141 ppi)",Dual speakers,integrated dual array digital microphones,Intel Wi-Fi CERTIFIED 6 AX201 (2x2),5,2.23,No,Full-size island-style Ultra Violet backlit keyboard with numeric keypad,Yes,No,HP Wide Vision 720p HD camera,"HP Imagepad with multi-touch gesture support, Precision Touchpad Support",Up to 7 hours,Yes,N/A
423,HP,x360,14c-cc0010TU,14c-cc0010TU,Mineral Silver,24029.18,Chromebook,Processing & Multitasking,N/A,Intel,Core i5,1135G7,"Base Frequency 2.40 GHz, Max Turbo Boost Frequency Upto 4.2 GHz",8,256,0,8,DDR4,256,N/A,N/A,Intel,Iris Xe,3,Chrome,Yes,"2 x SuperSpeed USB Type-C 5Gbps signaling rate (USB Power Delivery, DisplayPort 1.4), 1 x SuperSpeed USB Type-A (5Gbps signaling rate)",N/A,No,14,1920x1080,"Full HD, multitouch-enabled, IPS, edge-to-edge glass, micro-edge, Corning Gorilla Glass 5, Brightness: 250 nits, 157 ppi, Color Gamut: 45% NTSC",Built-in Dual Speakers,Built-in Dual Array Digital Microphone,Intel Wi-Fi CERTIFIED 6 AX201 (2x2),5,1.49,Yes,"Full-size, backlit, mineral silver keyboard",Yes,No,HP Wide Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
424,HP,OMEN,16-b0370TX,16-b0370TX,Shadow Black,68434.82,Gaming Laptop,Gaming,N/A,Intel,Core i7,11800H,1.9 GHz to max turbo frequency at 4.6 Ghz,24,1000,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3070,8,Windows 10 Home,Yes,"1 x Thunderbolt 4 USB4 Type-C, 3 x SuperSpeed USB Type-A 5Gbps signaling rate",1x HDMI 2.1,No,16.1,2560x1440,"QHD (165 Hz, 3 ms response time IPS, micro-edge, anti-glare, Low Blue Light, Brightness: 300 nits, 182 ppi)",Built-in Dual Speakers,Built-in dual array digital microphones,Intel Wi-Fi 6 AX201 (2x2),5,2.32,No,"Full-size, 4-zone RGB backlit, shadow black keyboard with numeric keypad and 26-Key Rollover Anti-Ghosting Key technology",Yes,Integrated 10/100/1000 GbE LAN,HP Wide Vision 720p HD camera,HP Imagepad with multi-touch gesture support Precision Touchpad Support,N/A,N/A,N/A
425,HP,Pavilion,15-EC2145AX,15-EC2145AX,Shadow Black & Ultra Violet,27849.02,Gaming Laptop,Gaming,N/A,AMD,Ryzen 5,5600H,Base Frequency 2.40 GHz Max Turbo Boost Frequency Up to 4.20 GHz,16,512,0,8,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050,5.4,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 1 x SuperSpeed USB Type-A 5Gbps signaling rate, 1 x USB 2.0 Type-A (HP Sleep and Charge)",1 x HDMI 2.0,No,15.6,1920x1080,"Full HD, IPS, micro-edge,anti-glare, Brightness: 300 nits, 141 ppi, Color Gamut: 72% NTSC",Built-in Dual Speakers,Built-in Dual Array Microphone,Realtek Wi-Fi 6 (2x2),5.2,1.98,No,"Full-size, ultra violet backlit, shadow black keyboard with numeric keypad",Yes,Integrated 10/100/1000 GbE LAN,HP TrueVision HD Camera,HP Imagepad with multi-touch gesture support Precision Touchpad Support,N/A,Yes,N/A
426,HP,Pavilion,14-dv1000TU,14-dv1000TU,Natural Silver,23257.26,Thin and Light Laptop,Processing & Multitasking,65 W Smart AC power adapter,Intel,Core i5,1155G7,4.0 GHz,8,512,0,8,DDR4,16,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB type C, 2 x USB type A",1 x HDMI,No,14,1920x1080,"Full HD, IPS, micro-edge, BrightView (250 nits Brightness, 45% NTSC Color Gamut, 157 ppi)",Dual speakers,Yes,Realtek RTL8822CE 802.11a/b/g/n/ac,5,1.41,No,"Full-size, backlit, Natural Silver keyboard",Yes,No,HP True Vision 720p HD camera,HP Imagepad with multi-touch gesture support,Upto 8 Hours,No,N/A
427,HP,Pavilion,14-dv1001TU,14-dv1001TU,Natural Silver,26249.46,Thin and Light Laptop,Processing & Multitasking,N/A,Intel,Core i5,1155G7,2.5 GHz Upto Max Turbo Frequency at 4.5 Ghz,8,512,0,16,DDR4,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 2.0,No,14,1920x1080,"Full HD, IPS, micro-edge,Brightview, Brightness: 250nits, 157 pppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Microphone,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,5,1.41,Yes,"Full-size, backlit, natural silver keyboard",Yes,No,HP True Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
428,HP,Pavilion,15-eg1000TU,15-eg1000TU,Natural Silver,24665.82,Thin and Light Laptop,Processing & Multitasking,65 W Smart AC power adapter,Intel,Core i5,1155G7,4.5,8,512,0,8,DDR4,16,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,N/A,1 x HDMI,No,15.6,1920x1080,"Full HD, IPS, micro-edge, BrightView (250 nits Brightness, 45% NTSC Color Gamut, 141 ppi)",Dual speakers,Integrated dual array digital Microphone,MediaTek Wi-Fi MT7921,5.2,1.75,No,"Full-size, backlit, Natural Silver keyboard with numeric keypad",Yes,No,HP Wide Vision 720p HD camera,HP Imagepad with multi-touch gesture support,Up to 7 hours and 45 minutes,N/A,N/A
429,ASUS,Vivobook Pro 14X OLED (2021),M7400QC-KM053TS,M7400QC-KM053TS,Black,43765.02,Creator Laptop,"Gaming, Processing & Multitasking",120W AC Adapter,AMD,Ryzen 9,5900HX,3.3 GHz with Max Boost Up to 4.6 GHz,20,1000,0,16,DDR4,16,N/A,N/A,NVIDIA,RTX 3050,5.4,Windows 10 Home,Yes,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",1 x HDMI 1.4,No,14,2880x1800,"OLED 2.8K (2880 x 1800), 16:10 aspect ratio, 90Hz refresh rate, 0.2ms response time, 600nits peak brightness, 100% DCI-P3 color gamut, PANTONE?Validated, VESA CERTIFIED Display HDR True Black 600",Built-in speaker,Built-in array microphone,Wi-Fi 6(802.11ax),5,1.45,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD camera (With?privacy?shutter),Touchpad,N/A,N/A,90 Hz
430,ASUS,N/A,Vivobook,K513EA-L703TS,Silver,32826.75,Thin and Light Laptop,"Entertainment, Processing & Multitasking, Performance",N/A,Intel,Core i7,N/A,N/A,N/A,256,1000,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 10 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,5,N/A,No,N/A,N/A,No,No,Touchpad,4 hrs,N/A,N/A
431,ASUS,Vivobook 15,Vivobook,X509FA-EJ311TS,Transparent Silver,13922.52,Laptop,Processing & Multitasking,45 W AC Adapter,Intel,Core i3,10110U,2.1 GHz with Turbo Boost Upto 4.1 Ghz,4,0,1000,4,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 10 Home,Yes,"2 x USB 2.0 Type A, 1 x USB 3.2 (1st Gen) Type A, 1 x USB 3.2 (1st Gen) Type C",1 x HDMI Port (v1.4),No,15.6,1920x1080,"Full HD LED Backlit Anti-glare Display (200 nits Brightness, 45% NTSC Color Gamut, 83% Screen-to-body Ratio)",Built-in Speakers,Built-in Microphone,IEEE 802.11ac,4.2,1.9,Yes,Chiclet Keyboard,No,No,VGA Webcam,Touchpad,3-5 Hrs,No,60 Hz
432,ASUS,Vivobook 15 K513,Vivobook Ultra K15,K513EA-L503TS,Silver,23870.02,Laptop,"Processing & Multitasking, Entertainment",65W AC Adapter,Intel,Core i5,1135G7,"2.4 GHz (8MB Cache, up to 4.2 GHz, 4 cores)",8,256,1000,8,DDR4,N/A,N/A,3200,Intel,UHD,2,Windows 10 Home,N/A,1x USB 3.2 Gen 1 Type-A | 1x USB 3.2 Gen 1 Type-C | 2x USB 2.0 Type-A,1x HDMI 1.4,No,15.6,1920x1080,"15.6-inch, FHD (1920 x 1080) OLED 16:9 aspect ratio, LED Backlit, 0.2ms response time, 400nits, 600nits peak brightness, 100% DCI-P3 color gamut, PANTONE Validated, Glossy display, Screen-to-body ratio: 85 ?",harman/kardon (Mainstream),Built-in microphone,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,5,1.8,Yes,Backlit Chiclet Keyboard with Num-key,Yes,No,720p HD camera,Touchpad,4 Hrs,No,60 Hz
433,MSI,Creator Z16,Creator Z16 A11UET,Creator Z16 A11UET-272IN,Lunar Gray,71618.02,Gaming Laptop,"Gaming, Processing & Multitasking",180W adapter,Intel,Core i9,11900H,2.1 GHz to max turbo frequency at 4.9 Ghz,N/A,1000,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3060,6,Windows 10 Home,Yes,"2 x Thunderbolt 4, 2 x Type-A USB3.2 Gen.2",N/A,No,16,2560x1600,"QHD+ (120Hz DCI-P3 100% typical, Finger Touch panel)",Built-in Dual Speakers,Yes,Killer Wi-Fi 6E AX1675,5.2,2.2,Yes,Mini LED Per Key RGB Backlight Keyboard,Yes,No,IR HD type (30fps@720p),Touchpad,N/A,N/A,N/A
434,ASUS,Vivobook X515EA,Vivobook X515EA,X515EA,Transparent Silver,14917.27,Laptop,Everyday Use,45W Adaptor,Intel,Core i3,1115G4,3.0 GHz with Turbo Frequency Upto 4.1 GHz,6,256,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 10 Home,N/A,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI (v1.4),No,15.6,1920x1080,"Full HD LED Backlit Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen-to-Body Ratio)",Built-in Speakers,Built-in Mic,Intel Wi-Fi 6 (Gig+) (802.11ax) Dual Band (2x2),5,1.8,Yes,Chicklet Keyboard,No,No,VGA Webcam (Without Privacy Shutter),Touchpad,3-5 hours,N/A,60 Hz
435,Lenovo,Ideapad 3,Ideapad SLIM 3I,15IML05,Platinum Grey,21884.1,Laptop,Processing & Multitasking,65 W AC Adapter,Intel,Core i5,10210U,1.6 GHZ TO 4.2 GHZ,6,512,0,8,DDR4,12,N/A,2666,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.2 (1st Gen)",1 x HDMI Port (v1.4b),No,15.6,1920x1080,"Full HD LED Backlit Anti-glare TN Display (16:9 Aspect Ratio, 220 nits Brightness)",Built-in Dual Speakers,Integrated Dual Array Microphone,IEEE 802.11ac (2x2),5,1.85,No,English Non-backlit Keyboard,N/A,No,"0.3 Megapixel Webcam (with Privacy Shutter, Fixed Focus)",Multi-touch Touchpad,Upto 7.3 hours,N/A,N/A
436,HP,N/A,240 G8 Notebook,240 G8,Black,17006.25,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",N/A,Intel,Core i3,N/A,N/A,N/A,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 10,N/A,N/A,N/A,No,14.1,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,Upto 8 Hours,N/A,N/A
437,DELL,N/A,Inspiron 3515,Inspiron3515,Carbon Silver,23038.41,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business",N/A,AMD,Ryzen 5,N/A,N/A,N/A,1000,0,8,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics Vega 8,3,Windows 10,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,Upto 6 hours,N/A,N/A
438,Infinix,INBook X1 Pro,INBook X1 Pro,XL12,Starfall Grey,20288.92,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i7,1065G7,1.3 GHz upto max turbo frequency at 3.9 GHz,N/A,512,0,16,LPDDR4X,N/A,1,N/A,Intel,Iris Plus,3.2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,No,14,1920x1080,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Dual Speakers,Built-in Dual Microphone,Intel AX201,5.1,1.48,Yes,Backlit Keyboard,Yes,No,720P HD,Touchpad,Up to 13 hours,N/A,N/A
439,HP,N/A,14s- dy2506TU,14s- dy2506TU,Natural Silver,15514.12,Thin and Light Laptop,Processing & Multitasking,N/A,Intel,Core i3,1125G4,1.7 GHz Upto Max Turbo Frequency at 4.1 GHz,8,256,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x SuperSpeed USB Type-C 5Gbps signaling rate, 2 x SuperSpeed USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,No,14,1920x1080,"Full HD, IPS Brightview,micro-edge,WLED- Backlit, Brightness: 250 nits, 157 ppi, Color Gamut: 45%NTSC",Built-in Dual Speakers,Built-in Dual Array Microphone,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,5,1.46,No,"Full-size, natural silver keyboard",No,No,HP True Vision 720p HD camera,HP Imagepad with multi-touch gesture support,N/A,N/A,N/A
440,Infinix,INBook X1,INBook X1,XL11,Starfall Grey,11933.02,Thin and Light Laptop,"Everyday Use, Performance, Processing & Multitasking",65 W AC Adapter,Intel,Core i3,1005G1,1.2 GHz Max Frequency Upto 3.4GHz,N/A,256,0,8,LPDDR4X,N/A,1,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,No,14,1920x1080,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Speakers,Built-in Dual Microphone,N/A,5.1,1.48,No,Backlit Keyboard,Yes,No,720P HD,Touchpad,Up to 13 hours,No,N/A
441,Infinix,INBook X1,INBook X1,XL11,Starfall Grey,15912.02,Thin and Light Laptop,"Everyday Use, Performance, Processing & Multitasking",65 W AC Adapter,Intel,Core i5,1035G1,1.0 GHz Max Frequency Upto 3.6 GHz,N/A,512,0,8,LPDDR4X,N/A,1,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,No,14,1920x1080,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Speakers,Built-in Dual Microphone,Intel AC9461,5.1,1.48,No,Backlit Keyboard,Yes,No,720P HD,Touchpad,Up to 13 hours,No,N/A
442,Infinix,INBook X1,INBook X1,XL11,Aurora Green,11933.02,Thin and Light Laptop,"Everyday Use, Performance, Processing & Multitasking",65 W AC Adapter,Intel,Core i3,1005G1,1.2 GHz Max Frequency Upto 3.4GHz,N/A,256,0,8,LPDDR4X,N/A,1,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,No,14,1920x1080,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Speakers,Built-in Dual Microphone,N/A,5.1,1.48,No,Backlit Keyboard,Yes,No,720P HD,Touchpad,Up to 13 hours,No,N/A
443,Infinix,INBook X1,INBook X1,XL11,Noble Red,15912.02,Thin and Light Laptop,Processing & Multitasking,65W AC Adapter,Intel,Core i5,1035G1,1.0 GHz upto max turbo frequency at 3.6 GHz,N/A,512,0,8,LPDDR4X,N/A,1,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,No,14,1920x1080,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Dual Speakers,Built-in Dual Microphone,Intel AC9461,5.1,1.48,No,Backlit Keyboard,Yes,No,720P HD,Touchpad,Up to 13 hours,N/A,N/A
444,Infinix,INBook X1,INBook X1,XL11,Noble Red,11933.02,Thin and Light Laptop,"Everyday Use, Performance, Processing & Multitasking",65 W AC Adapter,Intel,Core i3,1005G1,1.2 GHz Max Frequency Upto 3.4GHz,N/A,256,0,8,LPDDR4X,N/A,1,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 2 x USB 3.0",1 x HDMI1.4,No,14,1920x1080,"Full HD IPS Display ( 300nits peak brightness, 100% sRGB, NTSC 72%)",Built-in Speakers,Built-in Dual Microphone,N/A,5.1,1.48,No,Backlit Keyboard,Yes,No,720P HD,Touchpad,Up to 13 hours,No,N/A
445,ASUS,AMD Rhyzen 5 5600U,ZenBook 13 OLED,UM325SA-KG512S,Pine Grey,30236.42,Laptop,Processing & Multitasking,45W Adaptor,AMD,Ryzen 5,1115G4,3.0 GHz with Turbo Frequency Upto 4.1 GHz,6,512,0,16,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics vega 8,3,Windows 10 Home,Yes,"1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C, 2 x USB 2.0 Type-A",1 x HDMI (v1.4),No,13.3,1920x1080,"Full HD LED Backlit Anti-Glare Display (250 nits Brightness, 45% NTSC Color Gamut, 85% Screen-to-Body Ratio)",Built-in Speakers,Built-in Microphone,Intel Wi-Fi 6 (Gig+) (802.11ax) Dual Band (2x2),5,1.8,Yes,Chiclet Keyboard with Numeric Keypad,No,No,VGA Webcam (Without Privacy Shutter),Touchpad,3-5 hours,No,60 Hz
446,Lenovo,N/A,IdeaPad 3,IdeaPad 3 15ITL6,Arctic Grey,18295.44,Laptop,Processing & Multitasking,N/A,Intel,Core i3,N/A,N/A,N/A,512,0,8,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,6 HRS,N/A,N/A
447,HP,N/A,15s-du3055TU,15s-du3055TU,Jet Black,16508.87,Thin and Light Laptop,Processing & Multitasking,65 W Smart AC power adapter,Intel,Core i3,1115G4,4.1,6,0,1000,8,DDR4,16,N/A,N/A,Intel,UHD,2,Windows 10 Home,Yes,"1 x USB type C, 2 x USB type A",1 x HDMI 1.4,No,15.6,1920x1080,"FHD, IPS, micro-edge, BrightView (250 nits Brightness, 45% NTSC Color Gamut, 141 ppi)",Dual Speakers,Integrated dual array digital Microphone,Realtek RTL8822CE 802.11a/b/g/n/ac (,5,1.77,No,"Full-size, jet black keyboard with numeric keypad",N/A,No,HP True Vision 720p HD camera,Touchpad with multi-touch gesture support,Up to 7 hours and 15 minutes,Yes,N/A
